书名,作者,出版社,关键词,摘要,中国图书分类号,出版年月
日本官吏与公务员制度史,刘文英编著,北京北京图书馆出版社,官制历史研究日本公务员制度,本书系统而详细地介绍了明治维新后日本现代官吏与公务员制度的建立与不断完善的历史，在此过程中起重要作用的代表人物，和现代官吏与公务员制度的具体内容，对于中国发展与完善自身的公务员制度有很大的借鉴作用。,D,2008.01
梅德韦杰夫和普京,邢广成，张建国主编,长春长春出版社,政治研究俄罗斯,本书主要关注点是对这次俄罗斯国家杜马选举和俄罗斯总统选举进行分析，并通过这些分析和判断来预示俄罗斯未来政治、经济和外交的发展态势。,D,2008.07
爱丽舍宫的断想,李涛，姜晓东著,北京中国友谊出版公司,政治历史法国,本书是一部描述法国发展史的作品。作者以爱丽舍宫为主线，将各届总统、首相等巅峰人物的执政历程展现在政治舞台上，将这个竭力以二流国家的实力，在国际事务中扮演一流大国的法兰西民族解读出来。,D,2007.09
西方新公共管理概论,王义主编,北京中国海洋大学出版社,公共管理学科概论学科西方国家学科英、汉,本书内容包括变革的时代、新公共管理运动、新公共管理的理论基础、新公共管理的主要方法、新公共管理运动的发源地英国、非官僚化取向下的新公共管理变革美国、新公共管理的激进代表新西兰、稳健的新公共管理改革者澳大利亚等内容。,D,2006.06
美国问题研究第辑,倪世雄，刘永涛编著,北京时事出版社,美国学科研究学科文集,本书从美国政府执政、中美关系、反恐战争与美国安全和美国文化及思潮四大部分全面系统、缜密地论述了布什政府的外交、策略和对外政策走向等焦点和热点问题。,D,1991.02
帝国残梦,谢韬编著,北京中国友谊出版公司,政治学科研究学科美国,本书讲述及评价当今美国社会的政治。较客观地分析了美国的过去与当今，并对其发展作出预测。,D,2006.04
日本右翼历史观批判研究,王向远著,北京昆仑出版社,政治研究日本,昆仑文库意在正视对手和自己，真正知己知彼。因此，选取、具有战略目标价值的我国周边国家，如日本，中亚，印度，东南亚，朝鲜，俄罗斯等，就其文化模式、思维方式、行为方式进行深度解剖、选取中华传统文化研究中最权威的著作和自我反思自我解剖性质的著作，如易学哲学史汉魏两晋南北朝佛教史中国哲学大纲中国道教史等、也借此为将来的数字化出版保留和争取更多的优质版权资源。今次首先出版的昆仑文库之日本研究篇包括日本天皇制及其精神结构王金林日本起源考沈仁安当代神道教张大柘菊花与刀本尼迪克特日本对中国的文化侵略笔部队与侵华战争,D,2015.08
国家与社会主义政治论文集,匈米哈伊瓦伊达著,黑龙江大学出版社,政治东欧文集,本书主要内容包括中介的神话和现实赋予与阶级分析法律、伦理和利益卢卡奇在年国家与社会主义马克思主义和东欧给我朋友的一封信从传统视角看现存社会主义等。,D,2015.03
年美国的人权纪录汉英对照,中华人民共和国国务院新闻办公室编,北京五洲传播出版社,人权白皮书美国汉、英,本书详细记录了美国年的人权状况，包括关于生命、财产和人身安全，关于公民权利和政治权利，关于经济、社会、文化权利，关于种族歧视，关于妇女和儿童权利，关于侵犯他国人权等个部分，有利于世界人民客观地了解美国的人权面貌。,D,2003.09
战后日本腐败大案,冷葆青著,北京中国方正出版社,反腐倡廉案例日本,本书细致梳理了日本战后腐败现象发生的历史轨迹及日本社会解决腐败问题的有效经验。书中高度凝练地展示了日本细密、周详的反腐败法律架构，还原与刻画了一些富有典型意义的行贿人、受贿人、办案人角色，并对战后日本政治生态进行了精彩评述。,D,2015.01
美国读本下,美戴安娜拉维奇选编陈凯，林本椿，林铮，黄豪，杜昌忠，张祥和，林大津译,北京国际文化出版公司,社会生活概况美国,本书甄选了多篇美妙诗歌、歌词、犀利政论、精彩演讲，主要分为殖民时期和美国革命、新国家、南北战争之前的美国改革与扩张、内战的前奏、美国内战、内战之后、进步的时代、第一次世界大战及战后时期等阶段。,D,2005.12
四十个美国家庭,薛素珍著,北京中国妇女出版社,家庭地点美国,本书以大量素材客观真实地描述了形形色色的美国家庭反映了当代美国家庭的各种模式和不少婚姻家庭问题。,D,1988.08
日本廉政制度建设理论与实践,严维耀著,北京中国方正出版社,廉政建设学科研究地点日本廉政建设,本书是作者赴日本作专题研究，对日本廉政制度建设情况进行直接而系统的研习考察，研究之所得，全书分为导论、健全公务员制度、完善法规制度、加强监督、深化改革、借鉴和启示等章。,D,2004.01
日本社会解读,周维宏，宋金文等编,北京时事出版社,社会生活学科概况地点日本社会生活,本书通过各个领域的图表和数字的解读，揭开日本的神秘面纱，拨开您心头的重重迷雾，为您立体、客观地展现真实的日本。,D,2002.03
跟徐志摩去流浪英伦文学飞翔版图,简介谢金玄大学念中文，朋友笑往生没钱途了。研究所念电影，朋友说哪根筋坏了。出社会跑杂志网路、跑剧场、跑电影、跑吃喝玩乐，朋友说二十五岁前很浪漫，三十岁后很凄惨。大家都说文字工作是条不归中。长辈都说不正常、不正常，还是当老师最稳当。这条不归路，一走就走上七年，果然两袖清风，一事无成。生命是用来浪费的如今正一步步从所谓的浪漫走向悲惨的尴尬，上了瘾的夜猫症、自虐旅行症是治不好啦，喝着咖啡喝着茶，爬格子的路口不算太凄凉。只是，要她选择正常与不正常的生活，还真哈姆雷特说的,沈阳辽宁教育出版社,社会生活学科概况地点英国社会生活,本书作者走访了十三位英国伟大文人包括四位儿童文学作家的故居，及其经典著作的真实场景，并附景点之交通、开放时间、门票等详细资讯，同时穿插写意式的水彩地图。,D,2001.08
高级官员的摇篮法国国立行政学校,潘小娟著,北京中国发展出版社,国立行政学校学科概况地点法国,包括改革与发展、招考制度、培训制度、职业分配制度、在职人员培训制度等章介绍法国国立行政学校。,D,1994.02
东亚纵横谈周志贤教授论文选,中国现代国际关系研究所委员会编,北京时事出版社,国际形势地点东亚学科文集,周志贤日本问题专家中国现代国际关系研究所研究委员会副秘书长、研究员周志贤教授一生从事国际问题的研究重点研究东亚问题特别是日本问题。本书收录的是他年代以来发表过的部分作品。,D,1989.12
谋杀总统的国家,张书绅编著,沈阳辽宁大学出版社,资产阶级民主学科简介地点美国政治制度地点美国,这是一本介绍美国资产阶级民主的小册子。内容分为驴象之争、水门恩怨、竞选花絮等部分。,D,1988.02
东欧风云,辛夷，樊佳主编,北京人民日报出版社,政治学科概况地点东欧和平演变地点东欧,内部发行本书内容包括一场没有硝烟的战争、波兰团结工会的东山再起、布拉格之秋的风风雨雨、民主德国在地图上的消失等。论证东欧风云是世界诸多矛盾长期积累的一次大爆发是世界政局的一个重大转变。,D,1991.08
不战而胜,美尼克松著朱佳稳等译,北京长征出版社,美国学科对外政策,著者原题里查德尼克松本书是尼克松自年从政以来的政治经验总结。,D,1996.02
拉丁美洲论文集,现代国际关系研究所拉丁美洲研究室编,北京时事出版社,经济学科研究地点拉丁美洲学科文集,本书着重研究拉美经济问题对拉美经济一体化运动、债务危机、通货膨胀、石油经济发展战略等作了深入探讨。,D,1988.09
世纪袭击全景回放,龚仁青编著,北京中国工人出版社,恐怖主义学科政治事件地点美国恐怖主义政治事件,本书真实记录了美国大劫难的整个过程和相关报道，全书包括世纪劫难、举世震惊、美国对策、全球震荡、箭在弦上章。,D,2001.09
英国宫廷奇案,任国富著,北京北京燕山出版社,政治事件地点英国年代现代,本书记述了近年来发生在一些君主立宪国家的奇闻轶事。,D,1990.07
中亚五国新论,赵常庆著,北京昆仑出版社,中亚研究,年，中亚国家独立年，中国与其建交年。此间中亚国家和中国发生很大的变化，世界和中亚地区也发生很大的变化。中亚地区及其所在国家相继出现了很多热点问题，引起国际社会的广泛关注。由于中国与中亚国家联系日益紧密，国内对中亚研究也在升温。中亚五国新论是在国内已经有多部关于中亚问题著作的基础上推出的又一部专著，对中亚重大问题都有所涉及。作者为多年从事中亚研究的著名学者，本书与以往出版的专著不同之处在于，第一，本书为独著，不同于集体合著，更能反映作者的观点第二，时间跨度较大，涉及问题较多第三，本书注重观点表达，努力贴近现实和服务社会第四，本书包含许多其他学术著作没有涉及的内容，提,D,2014.05
应对危机美国国家安全决策机制,北京太平洋国际战略研究所编著,北京时事出版社,国家安全学科决策学科研究地点美国国家安全决策,文集本书分历史透视、结构功能、体制运行三部分，对美国的国家安全决策机制，对美国国家安全委员会内部运行与决策机制等方面加以介绍。,D,2001.02
原苏联七年改革纪实,黄宏，纪玉祥主编,北京红旗出版社,体制改革地点苏联年代,本书记述了年至年戈尔巴乔夫倡导的改革新思维及这一时期苏联在政治、经济、军事、民族、外交等方面的重大活动与事件。,D,1992.08
打击犯罪的三十年,法奥塔维奥利著夏世璋等译,北京群众出版社,警察学科历史地点法国,著者原题皮埃尔奥塔维奥利作者是被称为法国头号警察、反劫持先生的颇有影响的高级警官。书中阐述了对警察的培训、选拔、警察与检察院、法院、律师的关系以及法国警察体制改革等问题。,D,1989.06
近代中国外交史学研究,朱梅光著,合肥黄山书社,外交史研究中国近代,本书主要内容包括官修三朝筹办夷务始末、王氏父子与清季外交史料、民国时期外交史料出版的新局面、起步阶段的断代民国外交史研究等。,D,2012.04
中国和文莱的故事,刘新生主编,北京五洲传播出版社,中外关系友好往来文莱,本书分为记忆篇、合作篇、文化篇、印象篇、友谊篇五部分。主要内容包括浡泥王墓万流芳从考古遗迹看文莱中国友好关系杨新华中文文化交往的友好使者等。,D,2017.04
美国印度洋战略的历史演进研究,王晓文,北京国家行政学院出版社,印度洋问题美国对外政策研究,美国印度洋战略的历史演进研究的研究主题是美国印度洋战略的历史演进，美国印度洋战略的历史演进研究共分为章，分别介绍了历目前美国的印度战略，世纪美国在印度洋地区的战略利益，学界对于美国印度洋战略的主要观点以及当时美国政府印度洋战略的制约与影响等，是一本能够较为全面了解美国印度洋战略历史演进的学术研究读物。,D,2017.04
中国对外援助理论与实践,任晓，刘慧华著,上海格致出版社,对外援助研究中国,本书关注世纪国际政治新常态，剖析对外援助的含义和逻辑，探究中国对外援助发展历程。,D,2017.08
中国和俄罗斯的故事,周晓沛主编,北京五洲传播出版社,中俄关系友好往来通俗读物,本书共分为记忆篇人物篇和印象篇几部分主要内容包括从冷板凳到战略对话、少小离家老大回、我的中国缘、真诚的友谊绝不会过时、相伴中国年、难忘的留苏岁月等。,D,2016.06
中国国际关系现代化,刘建飞著,北京国家行政学院出版社,国际关系研究中国,本书内容包括国际关系现代化的现实基础与环境、国际关系现代化的理论基础、国际关系现代化的目标形态、中国推动国际关系现代化的方略等等，如何扮演好新的角色，发挥好国际体系建设者的作用，与国际社会一道推动国际关系进一步现代化，这是中国在推进国家治理现代化进程中面临的一个重大课题。,D,2016.03
中国瑞士,王庆忠，许颖之编撰,北京五洲传播出版社,中外关系瑞士汉法,本书主要内容包括外交关系、经贸往来、文化交流、民间友好。,D,2016.05
中国价格型货币政策调控研究,李良松,北京中国金融出版社,货币政策研究中国,本书着重分析价格型货币政策调控相关问题，主要涉及三个方面的问题，一是发达经济体在危机前后货币政策调控的经验教训。二是尝试设计我国未来价格型货币政策调控的总体框架。三是在总体框架指导下，深入研究了中国自然利率的测算，以及中央银行操作目标利率的选取，货币政策中介目标体系建立以及货币政策工具创新等相关问题。,D,2016.02
从对抗到承认年的俄美关系,沈莉华著,哈尔滨黑龙江大学出版社,美苏关系,年十月社会主义革命对俄美两国关系产生了重要影响。独特的历史和政治文化传统使美国资产阶级对十月革命大多采取否定和敌视态度。美国政府直接参与了协约国对苏维埃俄国的武装干涉。武装干涉行动失败后，美国拒绝承认布尔什维克党政府，并在重大国际事务中排挤和孤立苏维埃俄国。年世界性经济危机爆发，日德法西斯加紧了侵略活动。为了共同遏制日德法西斯的侵略扩张，维护自身安全和世界和平，推动彼此问经贸关系的发展，苏美两国从现实主义角度出发，于年建立了外交关系。,D,1954.03
世界海洋政治与中国海洋发展战略,刘中民著,北京时事出版社,海洋地理学政治地理学研究世界,本书为教育部人文社会重点研究基地的重大项目。世界海洋政治研究是中国国际问题研究的一大缺失海洋安全威胁已成为影响和制约中国国家安全以及和平发展的重要挑战。全书分五篇十九章，分别对世界海洋政治研究的主要理论，世界海权发展经验与教训，领海、专属经济区和大陆架制度等进行了归纳和总结。本书重点在于对中国的海洋战略、海洋权益的保护、中国与周边国家之间的海权问题等内容作了全面的阐述和分析，是目前国内研究世界海洋政治和中国海洋政治方略方面的一部力作，具有重大的现实意义。,D,2009.12
当代中印关系述评,王宏纬著,北京中国藏学出版社,中印关系国际关系史研究现代,本课题所关心和想着重探讨的是，像中印这样两个几千年来一直和平友好相处、彼此间没有根本利害冲突的亚洲大国，为什么却在年代初期，在那人迹罕至的喜马拉雅山脊上进行了一场战争？这一切究竟是怎样发生的？其根源何在？英国殖民主义者在其中起了什么作用？中国和印度方面的政策如何？冷战后两国的关系怎样？未来的前景如何？等等。本课题研究的目的绝不是要翻旧账或者追究历史责任，而是希冀从中总结出一些正面的经验和发现一些有益的教训。,D,2009.12
东北亚安全合作机制研究,何剑主编,沈阳东北财经大学出版社,国家安全国际合作研究东北亚,本书分上下两篇，内容包括东北亚传统安全形势与合作机制东北亚非传统安全形势与合作机制。,D,2008.06
多元平衡与准联盟理论研究,孙德刚著,北京时事出版社,外交政策研究美国,本书以美国准联盟战略为实证分析对象，选取五个案例加以考察，偷袭了准联盟的产生、运作、效能和基本特征。,D,2007.08
东北亚国际关系中的美国政策研究,李朋著,哈尔滨黑龙江大学出版社,美国对外政策研究东北亚,东北亚区域内的国际关系自其发生到世纪年代初历经了五个发展阶段。针对这里发生的重大国际事件，美国的政策、对策是什么？不同时期和不同阶段有什么变化？有什么特点？这些差别和变化的原因是什么？有什么规律可循？这些问题反映出美国对东北亚怎样的价值判断与价值取向？本书通过对以上问题的回答得出以下结论在形式、特征方面，美国的政策经历了由模糊到明确、从追随到独立的变化在出发点和利益考量方面，经历了由侧重经济考量到侧重政治考量，由简单商业利益考量到符合战略利益考量的演变在博弈模式和地位方面经历了由不结盟到积极参与并成为主要竞争者，再到主动制定规则，影响区域国际关系的变化过程。,D,2007.12
美国台海政策的演变分析,刘丽华，张仕荣著,呼和浩特内蒙古大学出版社,美国对外政策台湾问题研究美国对外政策台湾问题,本书介绍了从开罗宣言到划峡而治世纪年代美国台海政策的演变轨迹、从中美三个联合公报到与台湾关系法世纪年代美国台海政策的变动性与稳定性、美国台海政策变与不变的基本规律及台海局势的演化趋势等内容。,D,2007.12
中国国际战略思想新论,房广顺编著,沈阳辽宁大学出版社,中国对外政策学科研究中国对外政策,本书分为九章，介绍了世界形势的深刻变化与国际战略思维，顺应历史潮流的战略思想，多样性是人类文明进步动力的战略思想，提倡国际关系民主化的战略思想等内容。,D,2006.02
和平之声世纪的反战反核运动,熊伟民著,南京南京出版社,和平运动地点世界年代世纪和平运动,本书分为五部分，叙述了世界世界反对战争反对核威胁运动的情况。,D,2006.01
当代俄罗斯对外战略转型研究,李述森著,北京当代世界出版社,对外政策学科研究地点俄罗斯年代现代对外政策,山东社会科学出版基金资助出版本书内容包括俄罗斯对外战略传统回溯与评析、世纪末俄罗斯新型对外战略模式的探索、普京时期俄罗斯新型对外战略的确立与基本内涵等章。,D,2006.09
欧盟概况,冯寿农，项颐倩编,厦门鹭江出版社,欧洲联盟学科概况欧洲联盟,中国欧盟小项目便捷基金项目本书分为八章，分析了欧洲联盟运作体系，政治一体化，欧洲联盟内部的一些政策，欧洲联盟在全球性事务中的对外政策与行动，欧洲联盟扩大给中国带来的好处等。,D,2003.03
欧盟的对外关系,苏欲晓，武嫒嫒，张晗编,厦门鹭江出版社,欧洲联盟学科对外关系学科研究欧洲联盟对外关系,中国欧盟小项目便捷基金项目本书分为两大部分欧盟的对外关系和欧盟与中国的双边关系，分别介绍了欧盟的共同外交与人道援助，欧盟的对外经贸关系，欧盟的对外文化交流，欧盟与中国的政治关系，中欧科技与文教合作等问题。,D,2006.03
和平之愿世纪冲突与化解,马约生，钱澄著,南京南京出版社,国际争端年代世纪国际争端,本书分为领土纠纷、民族恩怨、理念之争、蓝盔行动、和解与正义五部分，介绍了中苏珍宝岛之争、塞浦路斯问题、柏林墙危机、刚果冲突、卢旺达种族屠杀等突。,D,2006.01
近代中国与日本互动与影响,王晓秋著,北京昆仑出版社,中日关系学科国际关系史学科研究年代近代中日关系国际关系史,北京大学创建世界一流大学计划经费资助本书分别考察了近代时期在中国和日本发生的几个重大历史事件之间的关系和影响，在揭露日本军国主义统治集团侵华言行的同时，还歌颂了日本进步人士对中国革命的同情和声援等。,D,2005.08
日本涉藏史近代日本与中国西藏,秦永章著,北京中国藏学出版社,西藏问题学科中日关系学科国际关系史年代近代西藏问题中日关系国际关系史,本书旨在考察世纪末叶至世纪中叶日本与我国西藏之间的历史关系，比较系统地向人们介绍一个世纪之间日本与我国西藏进行接触的具体过程，并揭露日本帝国主义染指我国西藏的真实面目。,D,2005.08
反恐警务组织视角与全球视野,美马蒂厄德弗兰著,北京中国人民公安大学出版社,反恐怖活动研究,本研究以年事件以来反恐警务的发展为轴心，重点考察了美国反恐警务的多个方面，并将比较研究视角扩展到包括以色列和伊拉克等国家等，全书从恐怖主义和反恐主义的犯罪学视角书法，精心勾勒了当代反恐执法机构的组织架构，执法机构的这种组织变革对于近期全球安全掌控会产生重要的影响。,D,2015.07
中国人眼中的美国和美国人,国务院新闻办公室编,北京五洲传播出版社,中美关系学科文集,本书汇集了赵启正主任的三篇讲演稿中国人眼中的美国和美国人、中美之间相互了解还很不平衡、美国媒体对中国的报道往往不准确，并配有大量与之相关的图片加以说明，本书向读者介绍了中美两国交往的历史和现状。,D,2005.08
近代中国与东南亚关系史,余定邦著,广州世界图书广东出版公司,中外关系国际关系史东南亚近代,本书论述世纪中叶至世纪初中国与东南亚贸易、交往的情况。它关注越、老、缅、暹和苏禄与清朝的贸易关系，探讨贸易停止的真正原因。在东南亚国家相继沦为殖民地的过程中，本书关注清政府对西方殖民者侵略东南亚国家的反应，探讨西方国家在东南亚的贸易状况。,D,2015.03
战后中日关系,史桂芳著,北京当代世界出版社,中日关系学科研究年代中日关系,本书共分五章，内容包括冷战开始后的中日关系、民间外交的形成与发展、中日邦交正常化的实现、中日关系的新发展、世纪的中日关系。,D,2005.07
帝国危机,符勇编著,北京朝华出版社,对外政策学科研究地点美国对外政策,本书通过不同角度、不同侧面、不同层次、不同人士，对美国的世界战略、全球性的反美主义浪潮、世界警察的无能、人权卫士的悲哀、新自由主义的伪善、绝对正义的谎言、美国遇到的超级麻烦及其江河日下的发展趋势等进行了透视。,D,2005.01
石油资源战,王丰等著,北京中国物资出版社,石油问题学科研究地点世界石油问题,作者根据国内外大量的历史资料，在深入研究的基础上，以百年来围绕石油资源争夺战而发生的重大历史事件为主线，按照时间顺序，以记实的手法描述了从第一次世界大战到目前的伊拉克战争有关石油资源争夺的精彩场面。,D,2003.07
当代国际问题探微,乔志忠著,呼和浩特内蒙古大学出版社,国际问题研究,本书共分为个专题篇目，所选的项目范围以第二次世界大战结束后的苏联和南斯拉夫问题为主，探讨了这些国家在社会主义建设和政治体制、经济体制改革中的理论和实践及经验与教训。内容主要介绍了经互会、华沙条约组织、柏林墙与两德统一。,D,2004.12
延安精神战时中美友好篇章,美高林，著孙振皋译,北京华艺出版社,中美关系陕甘宁抗日根据地学科史料陕甘宁抗日根据地中美关系学科史料,书名原文本书包括历史照片、自传、日记、书信等记载了他们在中国的经历和事迹。,D,1992.09
接触与防范美国对华战略,楚树龙著,厦门鹭江出版社,美国对外政策学科对华政策学科研究美国对外政策对华政策,本书介绍了冷战后和进入新世纪时美国人的中国观，探讨了美国的对华战略。同时探讨了中美两国的世界观、亚洲观，以及两国如何看待冷战后及世纪。在中美关系上，重点讨论和分析了两国的政治关系、文化联系，以及人权、台湾、西藏等两国关系中突出的问题。,D,2000.08
阿以冲突问题与出路,殷罡主编,北京国际文化出版公司,中东问题学科研究中东问题,中国社会科学院西亚非洲研究所重点课题本书的宗旨是对阿以冲突，特别是阿以冲突的核心问题巴勒斯坦问题的要点进行深入客观的专题论述。,D,2002.05
权力与国际政治,许嘉著,北京长征出版社,国际政治关系学科研究国际政治关系,本书综合运用历史、哲学和统计等研究方法，对最负盛名的国际关系理论大师摩根索权力政治理论展开了全面的研究。,D,2001.11
建构主义与国际政治,郭树勇著,北京长征出版社,国际关系理论学科流派学科研究国际关系理论,本书作者系统地梳理了建构主义的发展历程和主要学说，指出了建构主义的最大成功在于推动国际政治社会学进入了学科酝酿阶段，并提出了中国学者建构国际政治社会学的倡议和设想。,D,2001.11
国际关系和外交政策,罗振宇等编著,北京群众出版社,国际关系学科研究对外政策学科研究学科世界,本书主要介绍了马克思主义的国际关系理论和我国对外政策的总原则阐述第二次世界大战以来世界经济、政治格局变化规律和历史经验并阐述我国外交政策。,D,1987.02
外交官犯罪纪实,美阿什曼，美特雷斯科特著笪鸿安，左年念译,南京河海大学出版社,外交豁免权案件地点世界案件外交豁免权地点世界,本书披露了近几年派驻在美国、英国和加拿大等国的外交官及其家属利用外交豁免权进行恶性犯罪活动。,D,1989.02
关东租界地之国际法地位,美窝尔德著叶天倪译,上海中华书局,租借地关东学科研究年代民国关东租借地学科研究年代民国,关东租借地指年日俄战争后，日军强占我国原被帝俄租借的关东州，即辽东半岛普兰店至貔子窝一线与南地区和南满铁路。本书论述该租借地在国际法上的地位，包括租借地与战争中立的关系、租借地与领事裁判权及租借期等，并讨论我国收回关东租借地的权利问题。,D,1936.04
伐交的技巧外交智谋通鉴,吴士英等编著,济南山东友谊出版社,外交学科谋略地点中国年代古代外交谋略,本书选收二十五史中典型的有关外交谋略的故事，予以注释和深入浅出的评析，以供今人借鉴，并加以灵活变通的运用。,D,2002.01
战后美苏关系的演变,顾关福著,北京时事出版社,美苏关系国际关系史国际关系史美苏关系,本书从历史发展的角度系统地介绍了美苏两个超级大国在国际舞台上不断地调整争夺世界霸权的战略和策略。,D,1990.06
法学研究前瞻,周其华,北京中国检察出版社,法学研究,法学研究前瞻主要内容包括人民在自己的法律面前人人平等、犯罪的基本特征之我见、犯罪构成的三要件论、犯罪构成的地位与功能、犯罪成立要件与犯罪构成要件的关系、犯罪成立要件与犯罪构成要件的异同、犯罪理论体系的反思与探讨、刑法条文规定的过失犯罪的认定与论证、犯罪结果应是犯罪构成的必要要件、我国刑法对单位犯罪的规定与适用研究等。,D,2016.07
法学的故事,蒋来用编著,北京中国和平出版社,法学史学科世界学科通俗读物,本书介绍了古今中外著名的法学流派及法学发展的主线。,D,2006.05
菲尼斯自然法理论研究,田夫著,北京方志出版社,自然法学派理论研究,本书先后梳理了菲尼斯自然法理论的背景与渊源铺陈了作为该理论伦理学基础的基本价值理论，解释了实践合理性的基本要求呈现了共同善的正义与权利之维详尽地展现了作为菲尼斯自然法理论重要内容的权威理论与法律理论，分析了权威理论与法律理论的相互关联等。,D,2015.04
法律渊源论,彭中礼著,北京方志出版社,法的渊源,本书对法律渊源的概念以及价值进行了再认识，梳理了中西方法学家对法律渊源的认识以及法律渊源理论与实践的源流，指出了法律渊源概念在中国产生的意义裂变。,D,2014.12
法理的积淀与变迁,吕世伦著,北京法律出版社,法理学学科研究法理学,南京师范大学法学院资助出版本书分为马克思主义法理的积淀与变迁、西方法理的积淀与变迁、中国法理的积淀与变迁三篇。,D,2016.02
中国法学研究的新发展,王仲方著,北京群众出版社,法学地点中国学科文集,本书共收入篇文章从理论和实践的结合上论述了社会主义与法制建设的新问题阐明了如何搞好法学研究的组织推动工作等。,D,1991.11
法庭问答及其互动研究,廖美珍著,北京法律出版社,法律语言学学科研究法律语言学,全书共分十一章，概述了法律语言研究和问答研究，讨论了问答言语行为的类型，分析了问答相邻对、问话行为以及问话类型的分布，描述了法庭问答转换机制等诸多内容。,D,2003.09
新编法学概论,吴祖谋，李双元主编,北京中国方正出版社,法学学科高等学校法学,高等学校文科教材本书内容涉及法理学、宪法学、行政法学、民法学、商法学、经济法学、刑法学、诉讼法学、国际法学。,D,2003.06
比较立法制度,吴大英等著,北京群众出版社,比较法立法学科研究立法比较法学科研究,本书涉及到立法的各个方面和各个环节。包括立法机关、立法程序、立法技术等。,D,1992.12
法治国家论,卓泽渊著,北京中国方正出版社,国家和法的理论学科研究国家和法的理论,教育部人文社会科学研究规划项目重庆市教委社会科学研究规划项目本书内容包括法治国家的概念解析、法治国家的基本概论、法治国家的理论基础、法治国家的的法律体系等。,D,2001.06
外国法制史,王文主编,海口南海出版公司,法制史地点外国法制史,新世纪法学专业系列教材本书内容包括古代的罗马法中世纪的日耳曼法、教会法和伊斯兰法近代以来的英国法、美国法、德国法和日本法。,D,1989.05
法律推理的方法,波耶日司泰尔马赫，波巴尔托什布罗热克著,北京中国方正出版社,法律逻辑学研究,本书分为十九世纪和二十世纪中对法律方法的争议逻辑分析论证诠释学后现代视角中的法律推理方法六章，主要内容包括三种观点法律推理方法逻辑分析论辩诠释概述古典逻辑命题逻辑以及一介谓词逻辑等。,D,2014.12
公安司法口才学,由文平等撰,海口南海出版公司,公安口才学口才学公安司法口才学口才学司法,本书是针对公安司法工作的法制宣传、讯问、法庭辩论、辩护、劳动教育改造及其它有关口语表达的场合重点解决实践中的应用问题。,D,1992.07
法学通论蓝天出版社,阎振远主编徐乐，米振荣编著,北京蓝天出版社,法学学科军事院校学科教材,本书具体介绍我国现行主要法律注意了科学性、实用性保持军队教材的特点。,D,1991.02
立法学总论,张根大等著,北京法律出版社,立法学科概论,本书对我国的立法活动作了全面的探讨和研究。,D,1991.08
法律传播学,李振宇著,北京中国检察出版社,法律学科传播学法律传播学,本书继承了传播学理论的精华，把法律信息置于更加广阔的传播背景之中，丰富了法律信息传播的方式和途径。,D,2004.09
法律哲学司法方法的体系,谢晖著,北京法律出版社,法哲学,法律哲学论述的是法律规范的病理和医理。全书共设个病理法律的模糊不明、法律的冲突、法律的漏洞。针对这三个病理，以编法律模糊及其救济、法律冲突及其救济、法律漏洞及其救济，章法律解释与法律模糊的释明、法律推理与法律模糊的释明、法律论证与法律模糊的释明、效力识别与法律冲突的消解、利益衡量与法律冲突的消解、事实替代与法律冲突的消解、类推适用与法律漏洞的填补、法律发现与法律漏洞的填补、法律续造与法律漏洞的填补进行医理论述。,D,2017.09
知识产权法哲学新论,胡波著,北京法律出版社,知识产权法哲学,本书以知识产权法哲学为研究范畴，共分四章。不仅包括知识产权法的正当性、知识产权的对象等传统命题，也可以拓展至知识产权法的未来模式、价值论、形式理性、司法论证等新的论域。,D,2017.01
凯尔森纯粹法理论,张书友著,哈尔滨黑龙江大学出版社,法哲学研究,凯尔森的纯粹法理论被誉为二十世纪法律理论的起点，是任何后来者所不能绕过的重要学术界标。本书以尽可能浅白的语言介绍这一素以艰深而著称的理论形态，从对自然法形而上学传统的批评入手，以主要篇幅阐述纯粹法理论的内在逻辑与构造机理，兼及该理论在公法学、国际法学中的运用。此外，本书对凯尔森在科学哲学与政治哲学领域的贡献也有所涉及。,D,2013.03
以人为本的法治观,程关松,北京法律出版社,法学研究,本书从法学方法论入手，系统阐述了以人为本的法治观的本体论、认识论、主体论、人性论、价值论、规范论和实践论诸论题。,D,2017.07
哈特法学元命题的追问,支振锋著,哈尔滨黑龙江大学出版社,哈特，法哲学研究,本书首先以简练的语言介绍了英国著名法哲学家哈特的生平，追溯了他丰富的人生经历与学术生涯，探究了其思想的源流之所在。立足于对法的概念等哈特的经典之作的准确而精细的解读，本书论证了作为杰出的法哲学家，哈特的贡献与价值之所在。而对,D,2013.03
法学研究的格局流变,侯猛编,北京法律出版社,法学文集,运用社会科学的方法来研究法律，已经成为法学研究的主要范式之一。本书收入了法律的经验实证研究中代表性的作品。全书分为四编问题意识、政法体制、制度与场域、法律人如何思考。这一安排不仅结构化了中国法学研究的基本问题，同时也展示出法学人回应现实问题的解释能力。本书不仅可以作为社科法学的教学参考书，同时也为法律人认识中国法治和职业自我提供了优质读本。,D,2017.08
